name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Quiet Garden View Room & Super Fast WiFi,Oostelijk Havengebied - Indische Buurt,Private room,1.0,1.5,2,3,59.0,139,278,98.0,52.36575,4.94142,1
Studio with private bathroom in the centre 1,Centrum-Oost,Private room,1.0,1.0,2,1,129.0,0,339,89.0,52.36509,4.89354,0
"Romantic, stylish B&B houseboat in canal district",Centrum-West,Private room,1.0,1.5,2,2,125.0,136,219,99.0,52.387609999999995,4.8918800000000005,1
Comfortable double room,Centrum-Oost,Private room,1.0,1.0,2,2,75.0,338,336,97.0,52.3661,4.889530000000001,1
Comfortable single room,Centrum-Oost,Private room,1.0,1.0,1,2,55.0,355,480,95.0,52.36607,4.891,1
2-story apartment + rooftop terrace,Zuid,Entire home/apt,3.0,1.0,4,3,219.0,0,32,95.0,52.35132,4.848380000000001,0
Amsterdam Center Entire Apartment,Centrum-West,Entire home/apt,1.0,1.0,3,4,160.0,0,89,96.0,52.37891,4.88321,1
Oasis in the middle of Amsterdam,Centrum-West,Entire home/apt,2.0,1.0,4,3,211.0,362,59,98.0,52.375370000000004,4.88932,0
Luxury design with canal view,Centrum-West,Entire home/apt,1.0,1.5,2,4,115.0,117,179,98.0,52.38071,4.8861,0
Multatuli Luxury Guest Suite in top location,Centrum-West,Entire home/apt,2.0,1.0,3,2,136.0,244,368,98.0,52.38028,4.89089,1
Luxurous Houseboat-Great Location,De Baarsjes - Oud-West,Entire home/apt,2.0,1.0,4,3,250.0,365,103,99.0,52.36266,4.86103,0
"Family Home (No drugs, smoking or parties)",Bos en Lommer,Entire home/apt,3.0,1.0,6,4,115.0,135,17,95.0,52.37727,4.83925,0
B & B de 9 Straatjes (city center),Centrum-West,Private room,1.0,1.0,2,2,118.0,343,307,97.0,52.36932,4.88258,1
Amsterdam Aqua,Oostelijk Havengebied - Indische Buurt,Private room,1.0,1.5,2,2,75.0,0,102,92.0,52.37005,4.93869,0
Spacious studio at the attic of a townhouse,De Pijp - Rivierenbuurt,Private room,1.0,1.0,2,7,40.0,0,354,93.0,52.353390000000005,4.90064,1
Nice room near centre with en suite bath,Westerpark,Private room,1.0,1.0,2,3,75.0,5,309,91.0,52.38905,4.8855900000000005,0
Luminous central room,Centrum-Oost,Private room,1.0,1.0,2,1,90.0,0,179,92.0,52.37126,4.90351,0
"Fully equiped house, PIJP area = great",De Pijp - Rivierenbuurt,Entire home/apt,2.0,1.0,4,3,222.0,0,32,95.0,52.35386,4.89772,0
"Greatly located, cozy atmosphere",De Baarsjes - Oud-West,Private room,1.0,1.0,2,2,65.0,315,157,97.0,52.369659999999996,4.86203,0
Apartment near Museumplein (centre),Zuid,Entire home/apt,2.0,1.5,4,4,149.0,0,95,97.0,52.35613,4.88515,0
En Suite Apartment in a monumental canal house,Centrum-West,Private room,2.0,2.0,4,3,135.0,321,124,98.0,52.36916,4.88445,1
"Charming, beautifully & sunny place with cat Luna",Oud-Oost,Entire home/apt,1.0,1.5,2,2,135.0,334,30,98.0,52.36445,4.93124,0
Luxury Houseboat,De Baarsjes - Oud-West,Entire home/apt,1.0,1.5,2,3,189.0,0,103,98.0,52.363479999999996,4.8678300000000005,1
Amsterdam - The Pijp Apartment 1A,De Pijp - Rivierenbuurt,Entire home/apt,1.0,1.0,2,2,106.0,0,16,94.0,52.35472,4.8932400000000005,0
Rebel - Private Room,Centrum-West,Private room,1.0,1.5,2,1,45.0,63,659,96.0,52.36887,4.895230000000001,1
Yves Klein - Private Room,Centrum-West,Private room,1.0,1.5,2,1,98.0,0,579,96.0,52.3695,4.89556,1
Attic room with doublebed available,Noord-West,Private room,1.0,1.5,2,1,40.0,0,108,95.0,52.41433,4.92014,1
Garden Suite Studiohttps://www.airbnb.com/manage-l,Oud-Oost,Private room,1.0,1.0,3,3,55.0,0,254,95.0,52.36482,4.92762,0
Cottage Room- Completely Private,Centrum-Oost,Private room,1.0,1.0,2,3,48.0,0,324,94.0,52.36703,4.92879,0
Red Studio Palamedes Amsterdam,De Baarsjes - Oud-West,Private room,1.0,1.0,2,4,80.0,330,33,99.0,52.36145,4.8769599999999995,0
Yellow Studio Palamedes Amsterdam,De Baarsjes - Oud-West,Private room,1.0,1.0,2,4,80.0,296,16,97.0,52.36342,4.87558,0
"studio INN, bright and spacious",Westerpark,Hotel room,2.0,1.0,4,3,145.0,0,64,97.0,52.389340000000004,4.89089,1
TOP LOCATED Canalhouse B&B Jordaan,Centrum-West,Private room,1.0,1.5,1,2,109.0,0,218,95.0,52.37876,4.89264,0
Bright apt in central Amsterdam,Centrum-West,Entire home/apt,1.0,1.0,4,3,249.0,364,131,96.0,52.37307,4.89343,0
Bed&Bike SleepOnNature - free bikes,De Baarsjes - Oud-West,Hotel room,1.0,1.0,2,3,109.0,41,94,95.0,52.36521,4.85136,1
"Privat room and shared Houseboat ""Ramona"" centre",De Pijp - Rivierenbuurt,Private room,1.0,1.5,2,1,95.0,0,44,95.0,52.35774,4.89647,0
Beautiful and spacious room,Slotervaart,Private room,1.0,1.0,2,2,45.0,357,196,91.0,52.3491,4.83611,1
"A'dam Centre, Bright and Comfy",Centrum-Oost,Entire home/apt,1.0,1.0,2,2,150.0,362,37,95.0,52.37007,4.9196,0
